apj_id,name_en,name_jp,prefecture,url
M100243,Furukawa Art Museum,古川美術館,Aichi,https://artplatform.go.jp/museums/M100243
M100244,Hekinan City Tatsukichi Fujii Museum of Contemporary Art,碧南市藤井達吉現代美術館,Aichi,https://artplatform.go.jp/museums/M100244
M100245,Menard Art Museum,メナード美術館,Aichi,https://artplatform.go.jp/museums/M100245
M100636,Toyokawa City Sakuragaoka Museum,豊川市桜ヶ丘ミュージアム,Aichi,https://artplatform.go.jp/museums/M100636
M100748,Shippo Art Village,あま市七宝焼アートヴィレッジ,Aichi,https://artplatform.go.jp/museums/M100748
M100246,Paramita Museum,パラミタミュージアム,Aichi,https://artplatform.go.jp/museums/M100246
M100753,Saitou Museum,サイトウミュージアム,Mie,https://artplatform.go.jp/museums/M100753
M100250,"The National Museum of Modern Art, Kyoto",京都国立近代美術館,Shiga,https://artplatform.go.jp/museums/M100250
M100268,"Nakanoshima Museum of Art, Osaka",大阪中之島美術館,Kyoto,https://artplatform.go.jp/museums/M100268
M100269,"The Museum of Oriental Ceramics, Osaka",大阪市立東洋陶磁美術館,Osaka,https://artplatform.go.jp/museums/M100269
M100271,"The National Museum of Art, Osaka",国立国際美術館,Osaka,https://artplatform.go.jp/museums/M100271
M100637,Abeno Harukas Art Museum,あべのハルカス美術館,Osaka,https://artplatform.go.jp/museums/M100637
M100273,Amagasaki Cultural Center,尼崎市総合文化センター,Osaka,https://artplatform.go.jp/museums/M100273
M100274,"Itami City Museum of Art, History and Culture",市立伊丹ミュージアム,Osaka,https://artplatform.go.jp/museums/M100274
M100275,Kobe City Koiso Memorial Museum of Art,神戸市立小磯記念美術館,Osaka,https://artplatform.go.jp/museums/M100275
M100276,Kobe City Museum,神戸市立博物館,Osaka,https://artplatform.go.jp/museums/M100276
M100278,"Otani Memorial Art Museum, Nishinomiya City",西宮市大谷記念美術館,Osaka,https://artplatform.go.jp/museums/M100278
M100282,"The Museum of Ceramic Art, Hyogo",兵庫陶芸美術館,Hyogo,https://artplatform.go.jp/museums/M100282
M100779,Tanyo Museum,但陽美術館,Hyogo,https://artplatform.go.jp/museums/M100779
M100264,Tanabe City Museum of Art,田辺市立美術館,Nara,https://artplatform.go.jp/museums/M100264
M100265,"The Museum of Modern Art, Wakayama",和歌山県立近代美術館,Nara,https://artplatform.go.jp/museums/M100265
M100309,Kurayoshi Museum,倉吉博物館,Wakayama,https://artplatform.go.jp/museums/M100309
M100312,Adachi Museum of Art,足立美術館,Wakayama,https://artplatform.go.jp/museums/M100312
M100313,Iwami Art Museum,島根県立石見美術館,Wakayama,https://artplatform.go.jp/museums/M100313
M100316,Hamada Children's Museum of Art,浜田市世界こども美術館,Shimane,https://artplatform.go.jp/museums/M100316
M100283,Ibara City Hirakushi Denchu Art Museum,井原市立平櫛田中美術館,Shimane,https://artplatform.go.jp/museums/M100283
M100284,Ohara Museum of Art,大原美術館,Shimane,https://artplatform.go.jp/museums/M100284
M100289,Kurashiki City Art Museum,倉敷市立美術館,Shimane,https://artplatform.go.jp/museums/M100289
M100293,Niimi Museum of Art,新見美術館,Shimane,https://artplatform.go.jp/museums/M100293
M100640,Hayashibara Museum of Art,林原美術館,Shimane,https://artplatform.go.jp/museums/M100640
M100792,Setouchi City Museum of Art,瀬戸内市立美術館,Shimane,https://artplatform.go.jp/museums/M100792
M100297,Woodone Museum of Art,ウッドワン美術館,Shimane,https://artplatform.go.jp/museums/M100297
M100298,Umi-Mori Art Museum,海の見える杜美術館,Shimane,https://artplatform.go.jp/museums/M100298
M100299,Onomichi City Museum of Art,尾道市立美術館,Shimane,https://artplatform.go.jp/museums/M100299
M100300,Kure Municipal Museum of Art,呉市立美術館,Shimane,https://artplatform.go.jp/museums/M100300
M100303,Higashihiroshima City Museum of Art,東広島市立美術館,Shimane,https://artplatform.go.jp/museums/M100303
M100641,Izumi Museum of Art,泉美術館,Hiroshima,https://artplatform.go.jp/museums/M100641
M100642,Okuda Genso Sayume Art Mueum,奥田元宋・小由女美術館,Hiroshima,https://artplatform.go.jp/museums/M100642
M100318,Shimonoseki City Art Museum,下関市立美術館,Hiroshima,https://artplatform.go.jp/museums/M100318
M100798,Akama Jingū Hōmotsuden,赤間神宮宝物殿,Yamaguchi,https://artplatform.go.jp/museums/M100798
M100800,Sakai Sake Brewery Art Museum Gokyo Bunko,酒井酒造美術館・五橋文庫,Yamaguchi,https://artplatform.go.jp/museums/M100800
M100322,Aioi Shinrin Museum of Art,相生森林美術館,Tokushima,https://artplatform.go.jp/museums/M100322
M100327,Takamatsu Art Museum,高松市美術館,Tokushima,https://artplatform.go.jp/museums/M100327
M100330,Marugame Genichiro-Inokuma Museum of Contemporary Art,丸亀市猪熊弦一郎現代美術館,Tokushima,https://artplatform.go.jp/museums/M100330
M100311,"The Museum of Art, Ehime",愛媛県美術館,Tokushima,https://artplatform.go.jp/museums/M100311
M100334,The Kasho Museum,高畠華宵大正ロマン館,Ehime,https://artplatform.go.jp/museums/M100334
M100646,Niihama City Museum of Art,新居浜市美術館,Ehime,https://artplatform.go.jp/museums/M100646
M100336,"The Museum of Art, Kochi",高知県立美術館,Ehime,https://artplatform.go.jp/museums/M100336
M100807,Yokoyama Memorial Manga Museum,横山隆一記念まんが館,Kochi,https://artplatform.go.jp/museums/M100807
M100337,Kurume City Art Museum,久留米市美術館,Kochi,https://artplatform.go.jp/museums/M100337
M100340,Tagawa Museum of Art,田川市美術館,Kochi,https://artplatform.go.jp/museums/M100340
M100510,Kyushu National Museum,九州国立博物館,Fukuoka,https://artplatform.go.jp/museums/M100510
M100347,"Contemporary Art Museum, Kumamoto",熊本市現代美術館,Nagasaki,https://artplatform.go.jp/museums/M100347
M100348,Sakamoto Zenzo Museum of Art,坂本善三美術館,Kumamoto,https://artplatform.go.jp/museums/M100348
M100350,Fumio Asakura Museum of Sculpture,朝倉文夫記念館,Kumamoto,https://artplatform.go.jp/museums/M100350
M100651,Nikaido Museum of Art,二階堂美術館,Oita,https://artplatform.go.jp/museums/M100651
M100353,Miyakonojo City Museum of Art,都城市立美術館,Oita,https://artplatform.go.jp/museums/M100353
M100356,Kirishima Open-Air Museum,鹿児島県霧島アートの森,Miyazaki,https://artplatform.go.jp/museums/M100356
M100653,Tanaka Isson Museum,田中一村記念美術館,Kagoshima,https://artplatform.go.jp/museums/M100653
